gen	freq_resistant	freq_susceptible	odds_ratio	p_fisher	p_chi2	p_adj_fdr	significativo
PF_ompK36 p.E232R	0.25046963055729493	0.22272170004086636	1.1662182980386746	0.043944338063451466	0.04546341047976067	0.05262124557916481	False
RES_blaSHV-79	0.010018785222291797	0.01798120147118921	0.5526996722442643	0.04557561738851873	0.0555850565690041	0.05388815137761963	False
RES_blaSHV-89	0.010018785222291797	0.01798120147118921	0.5526996722442643	0.04557561738851873	0.0555850565690041	0.05388815137761963	False
RES_blaSHV-85	0.010644959298685034	0.018389865140988965	0.5743178621659635	0.05049707516125235	0.06746135453751825	0.05899097305051018	False
RES_blaSHV-40	0.010644959298685034	0.01879852881078872	0.5615987892129884	0.05051886521878798	0.05525978922787664	0.05899097305051018	False
RGI_dfrA14	0.08077645585472762	0.09889660809154066	0.800676132141329	0.051327640983781855	0.05800659939525704	0.05956541052438882	False
RGI_leuO	0.30118973074514716	0.3297915815284021	0.8758932814574978	0.057638332095155675	0.06094616628948413	0.06647856707907526	False
RES_blaOXA-1	0.06449592986850344	0.08009807928075194	0.7917827773679753	0.06534323499708157	0.07312433253789588	0.07490565963080083	False
RES_dfrA14	0.09768315591734503	0.11524315488353086	0.8311308636142158	0.08753717921529611	0.0882412475596367	0.09973933146954951	False
PF_ompK36 p.A217S	0.25547902316844084	0.2362076011442583	1.1095829416712018	0.1658765297323332	0.17455097281471874	0.18786016620288337	False
RGI_APH(3'')-Ib	0.110832811521603	0.09726195341234165	1.1569209373890401	0.16840373670637776	0.18117136097912834	0.1895802544958025	False
RGI_APH(6)-Id	0.12147777082028804	0.10788720882713526	1.1433886261042354	0.18714865478002918	0.19970894782482182	0.20942825653955646	False
RGI_Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	0.09830932999373826	0.1111565181855333	0.8718213848039216	0.20998448577805684	0.21326050936195579	0.23359220903121117	False
RGI_SHV-11	0.10457107075767064	0.09235798937474458	1.147679311838604	0.21169103899097402	0.21966004135054684	0.23410538429590066	False
RGI_SHV-28	0.061991233562930494	0.0723334695545566	0.8475707723292073	0.2254841868040949	0.22584693038645387	0.24790074338695817	False
RES_catB3	0.06950532247964934	0.07968941561095219	0.8626565897090797	0.24795557222113496	0.255854311850278	0.27102120684635683	False
RGI_catII from Escherichia coli K-12	0.014402003757044458	0.019207192480588477	0.7461677796101543	0.26931781914770747	0.3067891031753588	0.2909870689641897	False
RES_catA2	0.014402003757044458	0.019207192480588477	0.7461677796101543	0.26931781914770747	0.3067891031753588	0.2909870689641897	False
RGI_FosA6	0.284909204758923	0.27012668573763793	1.076527895164944	0.3137204382452995	0.32117464380288013	0.3351104681256608	False
RES_aph(3'')-Ib	0.12022542266750157	0.10993052717613404	1.1064467052084297	0.31203510368919957	0.3388831214142619	0.3351104681256608	False
RES_blaSHV-106	0.06762680025046963	0.07642010625255415	0.8765887452728206	0.3223546104796478	0.3225243640831768	0.34238794785408916	False
RES_blaSHV-28	0.06887914840325611	0.07723743359215365	0.8837793504908501	0.32619697834452094	0.3516008609012815	0.34452265128522436	False
RES_aph(6)-Id	0.12210394489668128	0.11197384552513281	1.1030514280954216	0.33991584835958566	0.350694142386905	0.3570065893385592	False
RES_tet(D)	0.03256105197244834	0.03882304863097671	0.8332754215636178	0.3444675489421327	0.3400159417273016	0.3597772177840053	False
PF_ramR p.A19V	0.028804007514088917	0.024111156518185534	1.200406517391732	0.36417889037689133	0.4143941246678564	0.37826315685555567	False
RGI_OXA-1	0.055103318722604884	0.06211687780956273	0.8805064350737679	0.37654532940769525	0.392727246589913	0.388958911695861	False
RGI_tet(D)	0.031934877896055106	0.037188393951777685	0.8540721891304038	0.3840072441212429	0.4237984913721975	0.3944992453267413	False
RGI_Klebsiella pneumoniae ramR mutants	0.026925485284909206	0.024111156518185534	1.1199528826647471	0.608450350525362	0.6488459680518353	0.621677532058522	False
RES_aac(6')-Ib-cr	0.08515967438948027	0.08827135267674703	0.9614672852181408	0.7754646648075465	0.7748174837660252	0.7880397674801013	False
RGI_acrD	0.33562930494677523	0.33959950960359625	0.9824031321630821	0.8118905278066549	0.8205008063973049	0.8206205334819953	False
RES_dfrA1	0.012523481527864746	0.013485901103391908	0.9277300589919486	0.8878047063863416	0.903188458285972	0.8925523251370707	False
RES_fosA5	0.020663744520976832	0.02125051082958725	0.9718055282313595	1.0	0.9880097863278261	1.0	False
