gen	freq_resistant	freq_susceptible	odds_ratio	p_fisher	p_chi2	p_adj_fdr	significativo
oqxB	0.2949279899812148	0.3420514916223948	0.8046053846202817	0.0017546889752450905	0.0019542172040505163	0.002767009537886489	True
acrB	0.30745147150907953	0.3543114017163874	0.8090294941506014	0.002169870583306587	0.002285640353519108	0.003357158260964908	True
Klebsiella pneumoniae KpnF	0.30619912335629307	0.34859011033919085	0.8247235283412547	0.005107445752656521	0.005703295685038855	0.00775575095773768	True
Klebsiella pneumoniae KpnE	0.3055729492798998	0.34777278299959136	0.8252615339297427	0.005624950384384398	0.005899731461527185	0.008386289663991284	True
Salmonella isangi gyrA conferring resistance to fluoroquinolones	0.09329993738259236	0.06988148753575807	1.3696003360149915	0.007348152050336808	0.008358281829376845	0.010759794073707469	True
sul2	0.13212273011897308	0.10420923579893747	1.3086382027558499	0.007538979736404284	0.007649360379852696	0.010845549796230725	True
CTX-M-15	0.11145898559799625	0.14017163874131588	0.7694656237608302	0.008231252352579405	0.008890724514720975	0.011637287808819159	True
Escherichia coli UhpT with mutation conferring resistance to fosfomycin	0.2974326862867877	0.3371475275847977	0.8323340355425917	0.008846760927751777	0.009081566510264242	0.012295498238570266	True
floR	0.020037570444583593	0.01021659174499387	1.980932907348243	0.013347129470362694	0.014152340620178219	0.018241076942829015	True
LptD	0.2968065122103945	0.3330608908868002	0.8452031969581916	0.0157114336650728	0.017125830103833863	0.0207796380731608	True
armA	0.016906700062617408	0.008173273395995096	2.0869108280254776	0.015492710725890159	0.017173265969730605	0.0207796380731608	True
Shigella flexneri acrA	0.29117094552285533	0.3248876174908051	0.8535902393492899	0.024011653012301376	0.025857172147676723	0.030764930422011137	True
dfrA1	0.005635566687539136	0.013077237433592154	0.42771961586901763	0.023721200934802907	0.031663147099254045	0.030764930422011137	True
mdtB	0.2736380713838447	0.30608908868001633	0.8540421711707564	0.02847023222255291	0.029222899308940016	0.03591629295768213	True
baeR	0.3030682529743269	0.33592153657539847	0.8596699479497992	0.030229033285477297	0.0315815662461311	0.03755728377892634	True
Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics	0.29931120851596743	0.33142623620760114	0.8617082585406867	0.032410088574650275	0.035043012198947836	0.03966607855404959	True
mdtC	0.3024420788979336	0.33428688189619943	0.863435141980484	0.03569199311759167	0.03709478362854478	0.043040344641801724	True
MdtQ	0.3068252974326863	0.33837351859419695	0.8654958127681116	0.036409936720385186	0.03958921493070429	0.04326977987060269	True
dfrA14	0.08077645585472762	0.09889660809154066	0.800676132141329	0.051327640983781855	0.05800659939525704	0.060126665152430175	False
leuO	0.30118973074514716	0.3297915815284021	0.8758932814574978	0.057638332095155675	0.06094616628948413	0.06656821453243332	False
APH(3'')-Ib	0.110832811521603	0.09726195341234165	1.1569209373890401	0.16840373670637776	0.18117136097912834	0.19179314458226357	False
APH(6)-Id	0.12147777082028804	0.10788720882713526	1.1433886261042354	0.18714865478002918	0.19970894782482182	0.21022177660222455	False
SHV-11	0.10457107075767064	0.09235798937474458	1.147679311838604	0.21169103899097402	0.21966004135054684	0.23144886929679825	False
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	0.09830932999373826	0.1111565181855333	0.8718213848039216	0.20998448577805684	0.21326050936195579	0.23144886929679825	False
SHV-28	0.061991233562930494	0.0723334695545566	0.8475707723292073	0.2254841868040949	0.22584693038645387	0.24328556997283923	False
catII from Escherichia coli K-12	0.014402003757044458	0.019207192480588477	0.7461677796101543	0.26931781914770747	0.3067891031753588	0.28680598922223394	False
FosA6	0.284909204758923	0.27012668573763793	1.076527895164944	0.3137204382452995	0.32117464380288013	0.3298086658476226	False
OXA-1	0.055103318722604884	0.06211687780956273	0.8805064350737679	0.37654532940769525	0.392727246589913	0.3908445191320381	False
tet(D)	0.031934877896055106	0.037188393951777685	0.8540721891304038	0.3840072441212429	0.4237984913721975	0.39360742522427394	False
Klebsiella pneumoniae ramR mutants	0.026925485284909206	0.024111156518185534	1.1199528826647471	0.608450350525362	0.6488459680518353	0.6159620832478974	False
acrD	0.33562930494677523	0.33959950960359625	0.9824031321630821	0.8118905278066549	0.8205008063973049	0.8118905278066549	False
